Tool/Capability,Description,Capability Type
Matomo,"Matomo is a free and open source web analytics application developed by a team of international developers, that runs on a PHP/MySQL webserver.",Data Ingestion/Manipulation
Matplot,"Matplotlib is a plotting library for the Python programming language and its numerical mathematics extension NumPy. It provides an object-oriented API for embedding plots into applications using general-purpose GUI toolkits like Tkinter, wxPython, Qt, or GTK+.",Repository Tools/Library
Microsoft Azure Bot Service,"Build, connect, deploy, and manage intelligent bots to interact naturally with your users on websites, apps, Cortana, Microsoft Teams, Skype, Slack, Facebook Messenger, and more. Get started quickly with a complete bot-building environment. You’ll pay only for what you use. Bring intelligent search to your apps and harness the ability to comb billions of web pages, images, videos, and news with a single API call.",Azure Tools
Microsoft Azure Resource Manager (ARM),"Utility Software (Azure) - Microsoft Azure Resource Manager (ARM) is a management framework that allows administrators to deploy, manage and monitor Azure Resources. ARM also allows administrators to apply access controls to all services in a resource group with role-based access control (RBAC) which is integrated into ARM.",Azure Tools
Microsoft Bing Web Search,"The Microsoft Azure Cognitive Services Bing Web Search API returns a list of relevant results from a search query which may include images, videos, news, related searches, and spell correction.",Azure Tools
Microsoft Cognitive Services,Cognitive Services are a set of machine learning algorithms that Microsoft has developed to solve problems in the field of Artificial Intelligence (AI).,Azure Tools
Microsoft SCCM,"Microsoft System Center Configuration Manager (SCCM), a systems management software product for managing large groups of computers running Windows.",Automation/Infrastructure Tools
Microsoft SQL,Relational database management system,Database
Miniconda,"Miniconda is a free minimal installer for conda. It is a small, bootstrap version of Anaconda that includes only conda, Python, the packages they depend on, and a small number of other useful packages, including pip, zlib and a few others.",DevSecOps Tools
MLflow,"MLflow is an open source platform for managing the end-to-end machine learning lifecycle. 

MLflow is library-agnostic. You can use it with any machine learning library, and in any programming language, since all functions are accessible through a REST API and CLI. For convenience, the project also includes a Python API, R API, and Java API.",AI/ML Tools
MongoDB,"Open Source UI tools available for access (i.e. Mongodb Compass, Robo 3T). MongoDB is a cross-platform document-oriented database program classified as a NoSQL database program. MongoDB uses JSON-like documents with schema. Data Storage Type",Database
Mulesoft Anypoint Platform,API design and automation tool,Automation/Infrastructure Tools
MySQL,Open Source UI tools available for access,Database
Natural Language Toolkit (NLTK),The Natural Language Toolkit is a suite of libraries and programs for symbolic and statistical natural language processing (NLP) for English written in the Python programming language.,Repository Tools/Library
Neo4j,ACID-compliant transactional database with native graph storage and processing,Database
Nessus (Tenable),Full stack cyber tool,Automation/Infrastructure Tools
NIFI,"Integrated Data Logistics to Automate Movement of Data - Apache NiFi is designed to automate the flow of data between software systems and is based on the ""NiagaraFiles"" software previously developed by the NSA.",Automation/Infrastructure Tools
Numpy,"NumPy is a library for the Python programming language, adding support for large, multi-dimensional arrays and matrices, along with a large collection of high-level mathematical functions to operate on these arrays.",Repository Tools/Library
Nvidia CUDA Compiler (NVCC),Nvidia CUDA Compiler is a proprietary compiler by Nvidia intended for use with CUDA. CUDA code runs on both the CPU and GPU.,DevSecOps Tools
Nvidia DASK,"Scalable Statistical Analysis (Multi-GPU) - Dask is a flexible library for parallel computing in Python. Dask is composed of 2 parts, Big Data collections like parallel arrays & dataframes; and lists that extend common interfaces like NumPy, Pandas, or Python iterators to larger-than-memory or distributed environments. The Dask Dataframe library provides parallel algorithms around the Pandas API. The Dask distributed task scheduler provides general-purpose parallel execution given complex task graphs.",Repository Tools/Library
Nvidia RAPIDS,Statistical Analysis - RAPIDS is an open-source suite of data processing and machine learning libraries developed by NVIDIA that enables GPU-acceleration for data science workflows. RAPIDS relies on NVIDIA's CUDA language allowing users to leverage GPU processing and high-bandwidth GPU memory through user-friendly Python interfaces.,AI/ML Tools
OpenCV,"OpenCV is a library of programming functions mainly aimed at real-time computer vision. Originally developed by Intel, it was later supported by Willow Garage then Itseez.",Repository Tools/Library
OpenSuse,Linux distribution sponsored by SUSE Linux GmbH.,OS
Oracle SQL ,Relational database management system,Database
Orange,"Orange is an open-source data visualization, machine learning and data mining toolkit. It features a visual programming front-end for explorative data analysis and interactive data visualization.",Data Visualization
Pandas,Statistical Analysis - Pandas is an open source software library written for the Python programming language for data manipulation and analysis. Panda offers data structures and operations for manipulating numerical tables and time series.,Repository Tools/Library
Perceptor,"Computer software platforms for monitoring the Internet for indicators of potential network compromise or unsanctioned activities indicative of a breach, and that alerts network users to potential security threats and blocks potential threats online, for use in the field of cyber defense and business intelligence by users of computer networks",Automation/Infrastructure Tools
pgAdmin,"PostgreSQL Tools for Windows, Mac, Linux and the Web.",DevSecOps Tools
phpMyAdmin,phpMyAdmin is a free and open source administration tool for MySQL and MariaDB.,DevSecOps Tools
Piesync,CRM and marketing tool that syncs contact information across applications,Automation/Infrastructure Tools
pip3,Package installer for Python.,DevSecOps Tools
PostGre SQL,"PostgreSQL, known as Postgres, is a free and open-source relational database management system emphasizing extensibility and technical standards compliance. It is designed to handle a range of workloads, from single machines to data warehouses or Web services with many concurrent users. ",Database
Promote,Alteryx Promote helps analytic teams deploy more predictive models faster by eliminating the need to recode models for real-time application consumption. Data scientists can quickly deploy their custom R and Python models as-is while citizen data scientists can deploy advanced analytics code-free from Alteryx Designer – providing the flexibility and reliability needed to advance your analytics to the next level.,Automation/Infrastructure Tools
Puppet,Multi-cloud management,Automation/Infrastructure Tools
Pycharm,There are other IDEs/Text Editors people may prefer,DevSecOps Tools
Python,"Python is an interpreted, high-level general-purpose programming language with a design philosophy that emphasizes code readability with its notable use of significant whitespace. Python can be used for Statistical Analysis & GEOINT data analysis. http://python.org",DevSecOps Tools
PyTorch,"An open source deep learning platform that provides a seamless path from research prototyping to production deployment. Deep Learning Tool - Open-Source machine learning library based on the Torch library, used for applications such as computer vision and natural language processing.",AI/ML Tools
Quill,This product works with Tableau and generates English narratives for the dashboards describing the insights. Natural Language Generation.,AI/ML Tools
R,Automatic install with Anaconda https://www.r-project.org/,AI/ML Tools
R Shiny,R Shiny is an R package that makes it easy to build interactive web apps directly from R.,AI/ML Tools
R Studio,"IDE - RStudio is an integrated development environment for R, a programming language for statistical computing and graphics.",AI/ML Tools
Rancher,"Open-source multi-cluster orchestration platform, lets operations teams deploy, manage and secure enterprise Kubernetes",Automation/Infrastructure Tools
React,React is a JavaScript library for building user interfaces.,Data Visualization
Red Hat OpenShift OKD,"Built around a core of OCI container packaging and Kubernetes container cluster management, OKD is also augmented by application lifecycle management functionality and DevOps tooling. OKD provides a complete open source container application platform.",Automation/Infrastructure Tools
RedHat (RHEL),Red Hat Enterprise Linux is a Linux distribution developed by Red Hat for the commercial market.,OS
Redis,"Redis is an in-memory data structure project implementing a distributed, in-memory key-value database with optional durability. Redis supports different kinds of abstract data structures, such as strings, lists, maps, sets, sorted sets, HyperLogLogs, bitmaps, streams, and spatial indexes. Data Acquisition Tool",Database
Redis Queue,Redis Queue (RQ) is a simple Python library for queueing jobs and processing them in the background with workers. It is backed by Redis and can be easily integrated in a web stack. Transport to Staging Area,Repository Tools/Library
ReSharper,"Resharper is a popular developer productivity extension for Microsoft Visual Studio. It automates most of what can be automated in your coding routines. It finds compile errors, runtime errors, redundancies, and code smells right as you type, suggesting intelligent corrections for them.",Repository Tools/Library
RetinaNET,RetinaNet is a single unified network composed of a backbone network and two task-specific subnetworks. The backbone is responsible for computing a conv feature map over an entire input image and is an off-the-shelf  network. RetinaNet can be used for Pattern Recognition,AI/ML Tools
S3 Bucket,"Amazon S3 bucket is a public cloud storage resource available in Amazon Web Services (AWS) Simple Storage Service (S3). Amazon S3 buckets are similar to file folders, store objects, which consist of data and its descriptive metadata. AI Distribution Tool",AWS Tools
Samtools,"SAMtools is a set of utilities for interacting with and post-processing short DNA sequence read alignments in the SAM, BAM and CRAM formats.",Data Ingestion/Manipulation
SAS,"SAS Viya extends the SAS Platform to enable everyone – data scientists, business analysts, developers and executives alike – to collaborate and realize innovative results faster.",AI/ML Tools
SciKit,"SciKit (short for SciPy Toolkits) are add-on packages for SciPy. SciKit Learn is a free software machine learning library for the Python programming language. It features various classification, regression, and clustering algorithms includes support vector machines, random forests, gradient boosting, k-means, and DBSCAN and is designed to interoperate with the Python numerical and scientific libraries, NumPy and SciPy.",Repository Tools/Library
SciPy,"Open Source software for Scientific Computing in Python.SciPy builds on a small core of packages to include Python, NumPy, SciPy library, and Matplotlib. SciPy ecosystem includes tools for data management and computation, productive experimentation and high-performance computing.",Repository Tools/Library
Seaborn,Seaborn is a Python data visualization library based on matplotlib. It provides a high-level interface for drawing attractive and informative statistical graphics.,Repository Tools/Library
Seldon,"Manage, serve and scale models built in any framework on Kubernetes.",Automation/Infrastructure Tools
Simio,Simio is a unique multi-paradigm modeling tool that combines the simplicity of objects with the flexibility of processes to provide a rapid modeling capability without requiring programming.,DevSecOps Tools
Solarwinds,"Software to help manage networks, systems, and information technology infrastructure",Automation/Infrastructure Tools
SonarQube,"SonarQube is an open-source platform developed by SonarSource for continuous inspection of code quality to perform automatic review with static analysis of code to detect bugs, code smells, and security vulnerabilities on over 20 programming languages. Software used to prevent, detect, and remove malware.",DevSecOps Tools
SpaceNet Utilities,Statistical Analysis - SpaceNet is a corpus of commercial satellite imagery and labeled training data to use for machine learning research.,AI/ML Tools
Spark,Apache Spark is an open-source distributed general-purpose cluster-computing framework that provides an interface for programming entire clusters with implicit data parallelism and fault tolerance.,Automation/Infrastructure Tools
Splunk Enterprise,"Software for searching, monitoring, and analyzing machine-generated big data, via a Web-style interface",Log Ingestion/Manipulation
Spyder,"In Python - designed by and for scientists, engineers and data analysts. It offers a combination of the advanced editing, analysis, debugging, and profiling functionality of a comprehensive development tool with the data exploration, interactive execution, and deep inspection",DevSecOps Tools
Sqoop,Sqoop is a command-line interface application for transferring data between relational databases and Hadoop.,Data Ingestion/Manipulation
STATA,Stata is a general-purpose statistical software package.,DevSecOps Tools
Studio3T,Utility Software: Professional IDE and GUI for MongoDB.,Data Visualization
SyncApps,Cloud Integrator and API builder,Automation/Infrastructure Tools
Tableau,Tableau is a powerful and fastest growing data visualization tool used in the Business Intelligence Industry. It helps in simplifying raw data into the very easily understandable format.,Data Visualization
TensorBoard,"TensorBoard is a suite of web applications for inspecting and understanding your TensorFlow runs and graphs. Deep Learning Tool. Visualization Learning Tools to visualize TensorFlow graph, plot quantitative metrics about the execution of your graph, and show additional data  like images  that pass through it.",AI/ML Tools
TensorFlow,TensorFlow is a free and open-source software library for dataflow and differentiable programming across a range of tasks.,AI/ML Tools
TensorFlow Serving,"TensorFlow Serving is a flexible, high-performance serving system for machine learning models, designed for production environments. TensorFlow Serving makes it easy to deploy new algorithms and experiments, while keeping the same server architecture and APIs. TensorFlow Serving provides out-of-the-box integration with TensorFlow models, but can be easily extended to serve other types of models and data.",AI/ML Tools
TensorRT,A platform for high-performance deep learning inference that includes a deep learning inference optimizer and runtime that delivers low latency and high-throughput for deep learning inference applications. Other Neural Network Tools,AI/ML Tools
Terraform,"Terraform is an open-source infrastructure as code software tool created by HashiCorp. It enables users to define and provision a datacenter infrastructure using a high-level configuration language known as Hashicorp Configuration Language, or optionally JSON.",Automation/Infrastructure Tools
Theano,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently. ",Repository Tools/Library
"ThoughtSpot, SearchIQ, SpotIQ",Natural language search. Use search to get granular insights from billions of rows of data. Or let AI uncover insights from questions you might not have thought to ask,AI/ML Tools
Twistlock,Full Stack Security Solution,Automation/Infrastructure Tools
Ubuntu,Free and open-source Linux distribution based on Debian.,OS
Unet,u-Net is a convolutional neural network that was designed for biomedical image segmentation and was designed to work with fewer training images and to yield more precise segmentations. U-Net can be used for Pattern Recognition,AI/ML Tools
Valgrind,C++ Debugging,DevSecOps Tools
Vim,Vim is a highly configurable text editor for efficiently creating and changing any kind of text.,Data Ingestion/Manipulation
Virtual Desktop Interface (VDI),"VDI is virtualization technology that hosts a desktop operating system on a centralized server in a data center. With VID, hypervisors work in the same way as they do with server utilization. UI & Visualization Tool",Automation/Infrastructure Tools
Visual Studio Code,"IDE - Source Code editor developed by Microsoft for Windows, Linux, and macOS and includes support for debugging, embedding Git control and GitHub, syntax highlighting, intelligent code completion, snippets, and code refactoring.",DevSecOps Tools
Visual Studio Professional 2019+,"IDE. Microsoft Visual Studio is an integrated development environment (IDE) that is used to develop computer programs, as well as websites, web apps, web services, and mobile apps. Visual Studio includes a code editor supporting IntelliSense, the code completion component, as well as code refactoring.",DevSecOps Tools
VMWare Fusion,VMware Fusion is a software hypervisor developed by VMware for Macintosh computers.,Automation/Infrastructure Tools
VMware vCenter Configuration Manager (VCM),"Store asset, security, and configuration settings, manage and remediate asset compliance, and automate server provisioning for physical and virtual IT systems and application",Automation/Infrastructure Tools
Watchfloor (SOC),Security Suite Tools - Security Operation Center (SOC) on the watch floor. The facility that houses an information security team responsible for monitoring and analyzing an organization's security posture. ,Automation/Infrastructure Tools
Windows Server,Windows Server 2012 or 2016,OS
XGBoost,"XGBoost is an optimized distributed gradient boosting library designed to be highly efficient, flexible and portable. It implements machine learning algorithms under the Gradient Boosting framework. XGBoost provides a parallel tree boosting (also known as GBDT, GBM) that solve many data science problems in a fast and accurate way. The same code runs on major distributed environment (Hadoop, SGE, MPI) and can solve problems beyond billions of examples.",AI/ML Tools
Yarn,"IDE - Apache Hadoop Yarn (Yet Another Resource Negotiator) is a large-scale, distributed operating system for big data applications that is capable of decoupling MapReduce's resource management and scheduling capabilities from the data processing component.",OS
Zapier,Integrate web applications and automate workflows,Automation/Infrastructure Tools
