Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Scott Pinckney,87,63.05,2016,296.8,69.02,29.96,52.53,71.524,258,,,-0.063,-0.325,0.511,-0.396,-0.376,"$332,533 "
Si Woo Kim,113,62.84,2016,293.5,64.83,28.6,62.32,70.56,"1,382",1,4,-0.109,0.499,0.336,-0.131,0.403,"$3,086,369 "
Jason Dufner,105,62.83,2016,293.2,70.15,29.59,56.39,70.212,"1,273",1,5,-0.353,0.488,0.29,0.469,0.081,"$2,879,884 "
Bryce Molder,80,62.53,2016,280.2,61.32,28.01,65.38,70.901,652,,5,0.553,0.54,-0.181,-0.331,0.498,"$1,353,385 "
Blayne Barber,84,62.37,2016,289.6,66.74,29.36,57.62,71.032,520,,1,0.01,0.099,0.018,0.127,-0.056,"$768,585 "
Tim Wilkinson,72,62.36,2016,279.3,64.71,28.54,63.66,70.704,426,,1,0.336,0.561,-0.459,0.425,0.26,"$708,623 "
Bill Haas,86,62.34,2016,289.6,67.14,29.44,63.3,70.444,"1,129",,6,-0.174,0.519,0.068,0.272,0.353,"$2,390,199 "
Stuart Appleby,71,62.24,2016,282.7,61.43,28.14,63.26,70.95,360,,,0.202,0.176,-0.173,-0.1,0.248,"$500,214 "
Rory Sabbatini,57,62.18,2016,287.6,64.3,29.76,56.48,72.451,143,,,-0.945,-1.403,0.115,-0.628,0.054,"$150,236 "
Webb Simpson,70,62.17,2016,286.3,67.14,29.36,59.42,70.359,666,,2,-0.482,0.667,0.146,0.728,0.276,"$1,450,355 "
Ben Martin,92,62.14,2016,288.8,66.73,29.26,54.84,71.282,741,,2,0.14,0.023,0.079,0.081,-0.277,"$1,205,730 "
Hideki Matsuyama,76,62.04,2016,294.5,68.11,28.82,60.86,70.034,"1,468",1,7,-0.025,1.29,0.527,0.774,0.015,"$4,193,954 "
Chris Kirk,90,62.02,2016,285.9,64.05,28.67,62.73,70.92,749,,2,-0.006,0.653,0.086,0.369,0.205,"$1,762,335 "
Shane Lowry,57,61.85,2016,298.7,64.51,29.56,53.91,70.64,615,,2,0.06,0.551,0.489,-0.137,0.139,"$1,585,436 "
Sergio Garcia,54,61.76,2016,299.9,70.15,29.75,57.66,69.999,"1,306",1,4,-0.388,0.801,0.737,0.482,-0.031,"$3,242,156 "
Louis Oosthuizen,63,61.67,2016,294,68.15,29.7,54.21,70.327,769,,2,-0.021,0.836,0.387,0.3,0.17,"$2,422,079 "
Vaughn Taylor,72,61.59,2016,287,64.43,28.99,54.66,71.028,726,1,1,-0.424,0.033,-0.113,0.612,-0.042,"$1,640,750 "
Fabián Gómez,82,61.44,2016,289,63.71,29.06,56.59,71.346,924,1,3,0.213,-0.037,0.009,-0.289,0.03,"$2,227,040 "
Hudson Swafford,104,61.43,2016,306.9,68.8,29.48,54.97,70.875,603,,1,0.203,0.302,0.403,0.275,-0.578,"$1,027,314 "
Geoff Ogilvy,63,61.24,2016,291.9,63.65,29.27,56.22,71.464,283,,1,-0.437,-0.187,-0.081,0.173,0.157,"$397,595 "
Johnson Wagner,86,61.13,2016,289.4,69.38,29.37,57.81,70.781,598,,3,0.273,0.368,0.03,0.219,-0.154,"$1,083,787 "
Rory McIlroy,69,61.06,2016,306.8,69.62,29.18,58.7,69.646,973,,6,-0.207,1.681,1.23,0.447,0.211,"$5,790,585 "
George McNeill,51,60.99,2016,284.5,64.16,29.43,53.5,71.848,134,,,-0.485,-0.791,-0.415,0.278,-0.168,"$213,895 "
Wes Roach,59,60.99,2016,294.7,63.23,28.93,56.04,71.7,241,,,0.299,-0.316,-0.015,-0.262,-0.338,"$342,098 "
Brett Stegmaier,87,60.93,2016,295.3,66.8,29.52,58.27,70.995,559,,3,-0.06,0.048,0.128,0.133,-0.152,"$1,086,714 "
Troy Merritt,77,60.89,2016,287.2,63.13,28.61,57.93,71.674,482,,1,0.244,-0.364,-0.303,-0.138,-0.166,"$922,707 "
D.H. Lee,61,60.85,2016,280.4,60.14,28.96,50.61,73.415,104,,,0.042,-1.778,-0.51,-1.317,0.007,"$174,683 "
Will MacKenzie,84,60.81,2016,285.6,66.39,29.58,57.23,71.402,317,,1,-0.479,-0.304,0.032,0.072,0.072,"$416,033 "
James Hahn,85,60.71,2016,290.9,64.58,29.47,55.72,71.245,878,1,2,-0.245,-0.244,-0.025,-0.089,0.116,"$2,367,521 "
Billy Horschel,73,60.71,2016,293,67.7,29.5,54.55,70.548,694,,4,0.076,0.81,0.352,0.493,-0.112,"$1,744,571 "
Chris Stroud,82,60.7,2016,286.3,66.6,29.19,56.96,71.101,412,,1,0.15,0.121,-0.069,0.159,-0.119,"$599,176 "
Kevin Chappell,93,60.68,2016,296.3,66.37,29.04,59.15,70.501,"1,422",,6,-0.31,0.77,0.321,0.634,0.126,"$4,501,050 "
Padraig Harrington,54,60.66,2016,289.6,62.96,28.7,60,71.032,393,,1,-0.342,-0.067,-0.292,0.159,0.408,"$654,929 "
Michael Thompson,71,60.57,2016,291.4,66.18,29.29,57.49,71.204,340,,1,-0.213,-0.072,-0.07,0.154,0.058,"$521,983 "
Marc Leishman,89,60.55,2016,295,65.31,28.85,60.34,70.554,765,,2,0.252,0.51,0.159,-0.092,0.191,"$1,566,824 "
Peter Malnati,85,60.54,2016,279.7,62.09,28.34,58.79,71.686,596,1,3,0.491,-0.652,-0.538,-0.532,-0.073,"$1,298,945 "
Kelly Kraft,63,60.36,2016,289.8,67.42,29.17,56.07,71.333,273,,1,0.185,0.039,0.009,-0.035,-0.12,"$403,437 "
Steve Wheatcroft,85,60.32,2016,286.2,61.93,28.67,60.36,71.429,400,,2,0.153,-0.221,0.008,-0.394,0.012,"$601,164 "
Brendan Steele,88,60.29,2016,302.2,68.72,29.8,54.76,70.855,791,,2,-0.257,0.275,0.449,0.272,-0.189,"$1,589,266 "
Graham DeLaet,70,60.11,2016,297.9,68.35,29.74,52.39,71.074,487,,3,-0.211,0.072,0.268,0.601,-0.586,"$908,557 "
Derek Ernst,59,60.1,2016,294.6,66.18,29.65,60.52,72.075,159,,,-0.556,-0.683,0.152,-0.291,0.012,"$190,736 "
John Senden,88,60.07,2016,289.7,68.86,29.48,59.13,70.717,577,,1,0.329,0.51,0.232,0.198,-0.25,"$989,841 "
Sam Saunders,69,59.78,2016,291.8,64.36,29.18,56.59,71.427,324,,2,0.06,-0.232,-0.191,-0.105,0.003,"$510,079 "
Cameron Tringale,81,59.57,2016,285.1,65.66,29.13,57.14,71.256,539,,1,0.057,-0.024,-0.443,0.257,0.104,"$1,064,066 "
D.A. Points,55,59.47,2016,282.3,65.36,29.18,57.86,71.655,167,,,-0.596,-0.406,-0.492,0.64,0.041,"$305,250 "
Scott Piercy,87,59.41,2016,297.9,67.33,29.48,57.29,70.855,"1,077",,3,-0.286,0.192,0.448,0.039,-0.009,"$2,905,349 "
Sung Kang,89,59.36,2016,292.4,65.26,29.06,59.74,70.856,473,,2,0.186,0.004,-0.009,-0.121,-0.053,"$979,576 "
Willy Wilcox,67,59.34,2016,292.9,63.42,28.74,58.18,71.055,399,,2,-0.027,-0.089,0.04,0.159,-0.261,"$676,841 "
J.J. Henry,68,59.33,2016,287.3,67.51,30.45,53.11,72.019,162,,,-0.237,-0.711,-0.144,-0.226,-0.104,"$280,674 "
Harold Varner III,92,59.33,2016,302,66.24,29.73,56.53,71.045,643,,4,-0.377,0.101,0.529,0.021,-0.072,"$1,327,320 "
Jeff Overton,69,59.25,2016,285,63.85,29.05,63.59,71.466,289,,1,-0.416,-0.492,-0.054,-0.157,0.134,"$410,246 "
Greg Owen,85,59.22,2016,297.7,69.75,30.33,51.7,71.677,319,,1,-0.947,-0.415,0.28,0.532,-0.28,"$484,955 "
Cameron Smith,73,59.21,2016,286.3,62.72,29.22,55.29,71.759,304,,,-0.057,-0.763,-0.357,-0.286,-0.062,"$477,843 "
Brendon de Jonge,83,59.19,2016,287.5,65.64,29.25,56.49,71.603,304,,,0.156,-0.332,-0.23,-0.196,-0.063,"$415,583 "
Freddie Jacobson,86,59.03,2016,280.3,64.86,28.48,60.29,70.809,714,,3,0.478,0.047,-0.349,-0.129,0.046,"$1,354,196 "
Martin Piller,59,58.97,2016,286.6,64.33,28.84,58.47,71.813,278,,2,0.562,-0.4,-0.253,-0.478,-0.231,"$570,740 "
Sean O'Hair,89,58.84,2016,302.2,67.17,29.02,57.79,70.677,536,,1,0.208,0.371,0.325,-0.187,0.024,"$1,702,713 "
Rickie Fowler,80,58.69,2016,301.6,69.26,29.16,62.21,70.118,"1,131",,7,0.153,1.378,0.529,0.308,0.387,"$2,713,563 "
Brandt Snedeker,93,58.69,2016,292.6,65.67,28.66,62.73,70.203,"1,717",1,7,0.343,0.86,0.032,0.176,0.31,"$3,960,142 "
Daniel Summerhays,99,58.65,2016,288,63.02,28.54,57.21,70.771,963,,2,0.592,0.236,-0.126,-0.257,0.027,"$2,045,968 "
Michael Kim,100,58.64,2016,284.3,62.96,28.54,61.25,71.203,500,,,0.277,-0.089,-0.151,-0.105,-0.11,"$664,539 "
Brooks Koepka,75,58.6,2016,302.6,66.98,28.81,55.53,69.956,"1,348",,7,0.445,1.092,0.542,0.139,-0.033,"$3,322,393 "
Steve Marino,72,58.46,2016,292,66.01,29.37,56.97,71.467,429,,2,0.045,-0.458,0.112,-0.343,-0.272,"$768,200 "
Jason Kokrak,89,58.41,2016,307.4,68.66,29.64,58.37,70.57,721,,2,-0.27,0.56,0.603,0.426,-0.199,"$1,934,250 "
Stewart Cink,61,58.4,2016,296.9,70.4,30.18,53.54,70.846,331,,,-0.398,0.062,-0.049,0.492,0.017,"$437,855 "
Shawn Stefani,91,58.4,2016,292.1,66.48,29.59,60.57,71.287,459,,1,-0.336,-0.144,0.003,0.073,0.116,"$698,102 "
Hiroshi Iwata,85,58.34,2016,288.8,59.5,28.34,59.34,71.693,339,,1,0.154,-0.621,-0.127,-0.606,-0.042,"$634,862 "
Jordan Spieth,80,58.14,2016,295.4,63.52,27.82,63.93,69.52,"1,965",2,6,0.758,1.569,0.402,0.145,0.264,"$5,538,470 "
Ángel Cabrera,62,58.06,2016,294.6,63.08,29.66,55.1,72.175,187,,,-0.352,-1.061,0.085,-0.254,-0.54,"$277,118 "
Brendon Todd,66,58.02,2016,280.1,54.23,27.86,61.46,72.728,60,,,0.462,-1.593,-1.043,-1.424,0.412,"$75,772 "
Tyler Aldridge,83,57.95,2016,285.2,65.54,29.43,57.96,71.412,384,,,-0.129,-0.24,-0.115,-0.031,0.036,"$517,738 "
Justin Rose,65,57.9,2016,303.9,67.92,29.58,58.1,70.148,829,,5,-0.197,1.128,0.678,0.409,0.237,"$2,085,365 "
Ryan Palmer,86,57.88,2016,304.7,67.83,28.92,57.63,70.229,731,,2,-0.094,0.774,0.625,0.234,0.009,"$1,794,141 "
Morgan Hoffmann,71,57.8,2016,294.4,63.27,28.94,58.24,71.372,424,,1,0.208,-0.116,-0.07,-0.192,-0.062,"$717,890 "
Jonas Blixt,79,57.79,2016,290.3,60.96,27.99,61.05,71.19,572,,2,0.52,-0.101,-0.287,-0.361,0.026,"$1,115,322 "
Patrick Rodgers,89,57.74,2016,300.5,69.22,29.75,58.17,70.833,739,,3,-0.193,0.311,0.356,-0.009,0.157,"$1,290,336 "
Matt Jones,83,57.55,2016,294.8,63.96,29.11,56.26,71.223,445,,,-0.306,-0.376,0.013,-0.272,0.188,"$712,723 "
Robert Streb,87,57.48,2016,294.7,66.2,29.9,55.77,71.223,590,,1,-0.432,0.122,0.062,0.279,0.213,"$1,003,363 "
Chad Collins,73,57.41,2016,279.3,62.4,28.81,60.53,71.532,402,,1,-0.004,-0.452,-0.629,-0.226,0.407,"$734,548 "
Jamie Lovemark,91,57.32,2016,304.8,65.32,28.9,61.44,70.896,904,,5,0.142,0.463,0.532,-0.497,0.286,"$1,940,890 "
Bronson Burgoon,83,57.3,2016,293.1,66.24,29.3,58.33,71.132,428,,,0.015,-0.202,0.073,0.127,-0.417,"$557,020 "
Nick Taylor,83,57.21,2016,296.2,65.82,29,59.26,71.281,441,,1,-0.154,-0.068,0.149,0.06,-0.123,"$628,756 "
Dustin Johnson,87,57.17,2016,313.6,67.82,28.49,59.58,69.172,"2,701",2,12,0.328,1.993,1.117,0.477,0.07,"$9,365,185 "
Hunter Mahan,61,57.13,2016,294.8,62.75,29.16,55.26,72.105,174,,,0.291,-0.773,0.034,-0.787,-0.311,"$230,694 "
Scott Stallings,74,56.95,2016,295.5,66.11,29.11,58.08,70.966,443,,1,-0.291,0.158,0.225,0.201,0.023,"$697,434 "
Dawie van der Walt,72,56.89,2016,290.2,66.75,29.49,52.03,71.376,239,,,-0.061,-0.274,-0.013,0.21,-0.41,"$301,697 "
Charl Schwartzel,73,56.86,2016,296.7,68.73,29.34,59.64,70.004,"1,127",1,3,-0.137,1.043,0.304,0.652,0.224,"$2,936,027 "
Vijay Singh,72,56.73,2016,289.8,62.73,29.01,56.52,71.057,586,,2,-0.093,0.128,0.023,-0.01,0.209,"$1,210,104 "
Luke Donald,81,56.69,2016,282.9,64.61,28.95,64.15,70.918,849,,2,0.148,0.378,-0.665,0.465,0.429,"$1,634,515 "
Gary Woodland,95,56.69,2016,306.1,68.74,29.26,60.16,70.234,907,,2,-0.13,0.968,0.547,0.463,0.088,"$2,392,044 "
Daniel Berger,92,56.68,2016,298.4,67.67,29.08,56.95,70.339,"1,254",1,5,0.175,0.893,0.329,0.49,-0.1,"$3,290,764 "
Chesson Hadley,81,56.58,2016,296.5,65.26,29.25,54.05,71.541,293,,,-0.165,-0.213,-0.038,0.133,-0.142,"$503,993 "
Jhonattan Vegas,97,56.57,2016,304.4,69.71,29.68,58.97,70.903,"1,119",1,5,0.098,0.604,0.478,0.15,-0.123,"$2,478,980 "
Retief Goosen,55,56.4,2016,288.8,62.73,28.44,60.16,70.581,380,,,0.462,0.613,-0.385,0.08,0.457,"$745,735 "
Anirban Lahiri,72,56.31,2016,291.7,62.88,28.88,56.4,71.139,494,,1,-0.02,0.068,0.025,0.143,-0.08,"$835,171 "
Patrick Reed,105,55.96,2016,297.4,64.65,28.4,63.97,70.17,"1,575",,9,0.28,1.026,0.183,0.158,0.406,"$5,679,575 "
Tom Hoge,81,55.81,2016,289.5,62.48,28.83,58.46,71.444,349,,2,-0.069,-0.323,-0.315,0.236,-0.175,"$561,559 "
Adam Scott,79,55.55,2016,304.6,70.76,29.5,59.5,69.47,"2,063",2,5,-0.168,1.894,0.522,1.491,0.049,"$6,473,090 "
Luke Guthrie,57,55.53,2016,289.3,63.13,28.29,60.55,71.416,234,,1,0.404,-0.444,-0.819,-0.075,0.046,"$427,442 "
Aaron Baddeley,93,55.42,2016,291.7,63.11,28.06,64.3,70.888,874,1,5,0.581,0.234,-0.363,-0.382,0.398,"$1,644,915 "
Rob Oppenheim,67,55.28,2016,281.2,63.58,29.14,59.56,71.435,300,,1,-0.046,-0.322,-0.716,0.285,0.156,"$462,427 "
Patton Kizzire,93,55.23,2016,291.3,64.48,28.88,56.24,70.921,760,,5,0.46,0.382,-0.343,0.37,-0.105,"$1,468,624 "
Branden Grace,63,55.14,2016,295.6,66.76,29.28,59.05,70.204,"1,187",1,6,-0.105,0.855,0.326,0.603,0.032,"$2,878,868 "
Martin Laird,82,55.14,2016,298.5,67.66,29.31,58.37,70.867,605,,3,0.157,0.297,-0.213,0.297,0.057,"$1,224,680 "
Bubba Watson,72,55.11,2016,310.6,69.16,29.78,52.74,70.333,"1,235",1,3,-0.367,0.992,0.983,0.393,-0.017,"$3,492,842 "
Robert Allenby,51,55.06,2016,282.2,63.73,30.41,50.75,73.117,9,,,-0.491,-1.95,-0.631,-0.46,-0.368,"$25,271 "
Harris English,97,55.01,2016,299.2,64.83,28.88,60.1,70.463,"1,032",,3,0.592,0.574,-0.344,0.2,0.127,"$2,014,283 "
Phil Mickelson,75,54.82,2016,294.8,66.05,28.21,64.32,69.582,"1,532",,6,0.565,1.364,-0.145,0.726,0.218,"$4,022,628 "
Charley Hoffman,91,54.8,2016,298.2,64.58,29.17,57.75,70.658,"1,087",1,1,-0.036,0.562,0.496,0.188,-0.085,"$2,350,239 "
Andres Gonzales,80,54.55,2016,294.7,66.17,29.5,55.79,71.681,307,,1,0.008,-0.462,-0.222,-0.112,-0.135,"$579,667 "
Ricky Barnes,97,54.27,2016,287.6,65.77,28.52,59.86,70.784,718,,4,0.386,0.295,-0.518,0.199,0.227,"$1,158,800 "
Justin Thomas,99,53.94,2016,301.3,65.63,29.28,55.56,70.571,"1,512",1,5,-0.185,0.32,0.029,0.494,-0.017,"$4,126,366 "
Robert Garrigus,69,53.91,2016,303.3,69.32,29.57,53.48,70.848,558,,3,-0.213,0.632,0.401,0.685,-0.242,"$1,024,900 "
Erik Compton,65,53.64,2016,284.7,58.64,28.3,56.93,71.884,236,,,-0.019,-0.698,-0.354,-0.393,0.067,"$247,903 "
Ernie Els,66,52.93,2016,292.8,61.2,28.82,54.66,71.371,273,,1,0.405,-0.024,0.065,-0.48,-0.014,"$559,024 "
Smylie Kaufman,91,52.91,2016,299,66.29,29.18,54.87,71.015,"1,181",1,4,0.134,0.322,0.082,0.065,0.041,"$2,508,174 "
Tyrone Van Aswegen,105,52.91,2016,288,64.81,29.15,60.84,71.189,550,,2,-0.078,-0.054,-0.5,0.544,-0.019,"$1,025,632 "
Carlos Ortiz,79,52.77,2016,298.9,64.44,29.47,50,71.906,238,,,-0.223,-0.701,-0.321,0.122,-0.278,"$263,466 "
Charles Howell III,91,52.6,2016,303.4,68.01,29.08,60.88,70.418,931,,5,0.133,0.673,0.131,0.082,0.327,"$1,974,962 "
Tony Finau,95,52.48,2016,312.2,65.09,29.2,57.96,70.797,864,1,2,-0.108,0.118,0.455,-0.174,-0.054,"$1,814,790 "
Rhein Gibson,58,52.45,2016,297.5,68.11,29.96,54.84,72.086,113,,,-0.266,-0.708,-0.067,0,-0.376,"$155,578 "
Camilo Villegas,83,52.18,2016,287,62.1,28.81,59.55,71.44,313,,,0.203,-0.369,-0.764,0.08,0.113,"$450,056 "
Derek Fathauer,94,52.02,2016,288.2,62,28.5,59.1,71.073,491,,1,0.353,-0.399,-0.514,-0.227,-0.012,"$898,430 "
J.B. Holmes,77,51.68,2016,314.5,65.17,28.84,56.68,70.523,956,,5,-0.153,0.481,0.633,-0.208,0.209,"$2,969,608 "
Luke List,79,50.98,2016,306.9,67.17,29.14,60.88,70.754,481,,2,-0.273,0.436,0.427,0.278,0.004,"$751,001 "
Jason Day,76,50.46,2016,304.2,67.23,28.06,61.92,69.313,"2,735",3,9,1.13,2.118,0.186,0.426,0.375,"$8,045,112 "
Seung-Yul Noh,85,49.12,2016,295.3,64.54,28.9,57.25,71.061,454,,1,0.176,0.026,-0.637,0.114,0.374,"$661,711 "
Jimmy Walker,85,48.31,2016,301.3,63.96,28.78,57.71,70.393,"1,352",1,4,0.243,0.892,-0.141,0.58,0.21,"$4,148,546 "
Andrew Loupe,75,45.56,2016,309.3,63.41,28.63,52.83,71.423,535,,4,0.301,-0.115,0.038,-0.295,-0.158,"$1,075,276 "
Steven Bowditch,71,43.02,2016,288.9,54.46,28.61,49.14,74.262,192,,1,0.131,-3.209,-1.616,-1.68,-0.044,"$458,891 "
Francesco Molinari,56,76.88,2015,281.6,71.07,29.94,58.33,70.458,558,,2,-0.255,0.604,0.324,0.572,-0.037,"$997,389 "
David Toms,62,74.5,2015,270,64.66,28.74,63.96,71.092,383,,2,-0.102,0.076,-0.041,-0.028,0.248,"$742,470 "
Chez Reavie,56,71.89,2015,286.3,69.64,29.63,55.88,71.146,268,,,-0.262,0.08,0.384,0.298,-0.34,"$331,623 "
Justin Leonard,61,71.7,2015,271.6,62.57,28.82,61.8,71.517,188,,,0.231,-0.313,-0.486,-0.224,0.166,"$219,175 "
Jason Bohn,95,71.58,2015,277.1,68.89,28.54,60.9,70.235,"1,037",,5,0.239,0.777,0.019,0.561,-0.042,"$2,337,580 "
Steven Alker,62,71.41,2015,278.3,66.57,28.73,61.5,71.094,216,,,-0.146,0.017,-0.129,-0.114,0.406,"$236,862 "
Colt Knost,90,71.24,2015,276.6,67.44,28.98,58.93,70.698,628,,4,0.348,0.196,-0.084,0.017,-0.085,"$1,066,553 "
Zach Johnson,90,71.21,2015,282.6,68.58,28.78,60.98,69.753,"1,559",1,8,0.04,1.12,0.24,0.605,0.236,"$4,801,487 "
Jerry Kelly,79,70.45,2015,277.2,65.96,28.46,64.46,70.383,632,,3,0.25,0.436,0.073,-0.052,0.166,"$1,336,607 "
Brendon Todd,96,70.24,2015,276.4,65.47,28.39,62.63,70.533,831,,4,0.582,0.83,-0.168,0.136,0.28,"$1,809,192 "
Ryan Moore,81,70.05,2015,282.6,65.24,28.51,60.25,70.829,"1,208",1,4,0.16,0.578,0.071,0.246,0.102,"$2,642,306 "
Henrik Stenson,63,69.91,2015,296.4,73.52,29.87,62.24,69.354,952,,4,0.436,2.21,0.448,1.244,0.082,"$4,755,070 "
Heath Slocum,57,69.51,2015,275.8,62.79,29.25,56.9,72.362,62,,,-0.594,-1.564,-0.229,-0.759,0.018,"$122,480 "
John Huh,102,69.44,2015,279.8,64.85,28.71,62.6,71.037,565,,,0.279,0.088,-0.041,-0.12,-0.03,"$678,556 "
Brian Stuard,97,69.31,2015,276.5,63.2,28.57,60.23,71.341,447,,1,0.116,-0.24,-0.103,-0.2,-0.052,"$687,109 "
Spencer Levin,99,69.09,2015,283.7,68.27,29.6,59.75,70.837,496,,1,-0.065,0.07,0.204,0.181,-0.25,"$836,698 "
Jim Furyk,71,69.08,2015,281.9,69.79,29.39,62.93,69.845,"1,401",1,6,-0.024,1.634,0.064,1.081,0.513,"$3,732,664 "
Willy Wilcox,58,68.98,2015,296.6,72.53,29.46,62.55,69.804,649,,4,0.322,1.186,0.662,0.144,0.058,"$1,168,302 "
Nicholas Thompson,90,68.7,2015,286,68.6,29.81,52.06,71.396,442,,1,-0.493,-0.712,0.37,-0.139,-0.45,"$667,185 "
Kevin Streelman,95,68.63,2015,289.5,68.99,29.65,58.66,71.282,771,,2,-0.219,0.133,0.563,0.005,-0.216,"$1,525,774 "
Cameron Tringale,96,68.5,2015,281.8,64.58,29,62.09,70.92,816,,2,0.125,0.369,-0.074,-0.054,0.373,"$1,837,164 "
John Merrick,78,68.32,2015,285,67.64,29.65,57.31,71.334,311,,,-0.775,-0.356,0.056,0.358,0.006,"$391,513 "
Zac Blair,108,67.91,2015,273.1,65.54,28.68,64.81,70.714,538,,1,0.527,0.171,-0.299,-0.188,0.131,"$1,244,676 "
Ken Duke,93,67.91,2015,278.1,64.17,29.01,58.71,71.306,493,,3,-0.222,-0.378,0.067,0.025,-0.248,"$817,675 "
William McGirt,103,67.87,2015,280.4,67.85,28.96,64.09,70.647,652,,1,0.06,0.455,0.087,0.06,0.248,"$1,004,696 "
Webb Simpson,81,67.85,2015,289.4,67.81,29.35,64.38,70.31,953,,5,-0.646,0.7,0.225,0.582,0.539,"$2,046,260 "
Jason Dufner,76,67.81,2015,286.7,69.03,29.6,55.28,70.633,546,,2,-0.7,0.222,0.242,0.399,0.281,"$1,007,997 "
Russell Knox,96,67.76,2015,284.4,70.83,29.56,59.92,70.421,914,,3,-0.021,0.806,0.098,0.622,0.107,"$1,916,666 "
Brian Davis,86,67.66,2015,275.5,62.26,28.51,60.68,71.656,387,,2,0.081,-0.512,-0.119,-0.503,0.029,"$656,534 "
John Peterson,84,67.52,2015,288.1,68.32,29.21,63.47,70.735,588,,,-0.184,0.251,0.333,0.276,-0.175,"$779,509 "
Ben Crane,62,67.49,2015,271,63.22,28.95,61.98,71.975,182,,,0.201,-0.558,-0.303,-0.486,0.03,"$203,254 "
Jon Curran,83,67.46,2015,273.5,66.39,29.28,61.72,70.849,540,,5,-0.028,-0.088,-0.406,0.077,0.27,"$1,049,549 "
Jim Herman,88,67.1,2015,293.8,73.23,30.22,58.02,70.719,610,,2,-0.03,0.376,0.467,0.285,-0.345,"$1,212,778 "
Kevin Kisner,104,66.85,2015,287.8,66.24,28.72,62.66,70.344,"1,416",,6,0.24,0.628,0.316,0.141,-0.068,"$3,567,939 "
Bryce Molder,91,66.8,2015,277.9,65.45,28.68,62.85,70.779,595,,2,0.508,0.189,-0.294,-0.181,0.156,"$1,165,547 "
Jason Gore,76,66.67,2015,290.4,67.52,29.4,54.87,71.273,564,,2,-0.067,0.089,0.284,0.266,-0.393,"$1,101,246 "
John Senden,80,66.6,2015,290.2,67.26,29.53,55.2,71.09,610,,3,-0.061,0.082,0.331,-0.171,-0.017,"$1,422,033 "
Mark Hubbard,79,66.32,2015,278.5,66.81,29.23,61.52,71.227,274,,,-0.102,-0.383,-0.06,-0.35,0.128,"$293,980 "
Billy Hurley III,83,65.91,2015,271.9,65.26,28.84,64.17,71.043,420,,1,0.311,-0.112,-0.635,0.114,0.098,"$591,450 "
Roberto Castro,54,65.76,2015,279.8,66.11,29.8,54.43,71.334,167,,,-0.732,-0.12,0.079,0.347,0.187,"$179,723 "
Chad Campbell,97,65.75,2015,285.2,68.61,29.41,59.31,70.604,670,,2,-0.045,0.437,0.13,0.192,0.159,"$1,015,707 "
Sung Joon Park,79,65.73,2015,283.7,64.72,29.23,64.42,71.469,426,,1,-0.421,-0.588,0.104,-0.326,0.055,"$597,103 "
Pat Perez,96,65.7,2015,284.6,67.88,28.71,60,70.666,825,,2,0.364,0.586,-0.01,0.187,0.045,"$1,588,664 "
Brendon de Jonge,106,65.69,2015,285.3,67.51,29.03,59.19,70.642,892,,3,-0.007,0.312,0.276,0.196,-0.152,"$1,594,935 "
Jonathan Byrd,69,65.6,2015,287.5,67.35,28.94,64.92,70.83,335,,,0.084,0.232,-0.145,-0.303,0.596,"$446,732 "
David Lingmerth,90,65.51,2015,289.5,64.94,28.66,61.27,70.8,"1,305",1,4,0.039,0.405,0.379,0.013,-0.025,"$2,736,378 "
Graham DeLaet,65,65.46,2015,298.7,69.15,29.26,57.34,70.72,545,,3,-0.012,0.287,0.027,0.328,-0.056,"$988,349 "
Adam Hadwin,95,65.43,2015,288.2,66.55,29.15,58.39,71.021,584,,3,0.235,0.183,0.088,-0.183,0.044,"$937,611 "
Hideki Matsuyama,95,65.25,2015,294.5,69.2,28.79,61.92,69.94,"1,374",,8,0.076,1.464,0.496,0.637,0.254,"$3,758,619 "
Ben Martin,93,65.09,2015,288.1,68.7,29.64,54.04,70.95,"1,217",1,5,0.127,0.28,-0.016,0.268,-0.1,"$2,717,305 "
Davis Love III,51,64.94,2015,294.7,67.43,29.67,57.19,71.289,649,1,2,-0.347,-0.377,0.189,-0.335,0.116,"$1,263,596 "
Keegan Bradley,87,64.85,2015,306.1,67.53,29.49,58.25,70.45,759,,3,-0.07,1.018,0.436,0.389,0.263,"$1,565,079 "
Mark Wilson,89,64.53,2015,279.2,67.84,29.35,60.37,70.991,497,,3,-0.065,0.026,-0.299,0.013,0.377,"$851,845 "
Russell Henley,87,64.39,2015,297.1,67.06,29.01,57.43,70.581,986,,4,0.579,0.462,0.343,-0.269,-0.191,"$2,110,774 "
Brian Harman,90,64.37,2015,287.9,66.67,29.09,59.63,70.647,704,,3,0.236,0.413,0.322,-0.176,0.03,"$1,548,352 "
Derek Ernst,75,64.3,2015,295.1,66.51,29.7,57.24,71.453,250,,,-0.516,-0.531,0.676,-0.547,-0.144,"$320,095 "
Chris Stroud,84,64.22,2015,283,65.67,28.95,59.92,71.194,531,,2,-0.176,0.002,-0.249,0.132,0.295,"$746,814 "
Paul Casey,87,64.16,2015,297.8,72.36,29.77,56.13,69.806,"1,389",,7,0.014,1.216,0.392,0.991,-0.182,"$3,488,311 "
