Company,Name,Ref,Review Date,Cocoa Percent,Company Location,Rating,Broad Bean Origin,Bean Type,,,,
Cacao Atlanta,Tumbes,1215,2014,75,U.S.A.,2.5,Peru,Criollo,,,,
Castronovo,Sierra Nevada,1347,2014,72,U.S.A.,3.5,Colombia,Criollo,,,,
Castronovo,Arauca,1371,2014,76,U.S.A.,3.5,Colombia,Criollo,,,,
Cello,Venezuela,1251,2014,70,U.S.A.,2.75,Venezuela,,,,,
Dandelion,Patanemo,1026,2013,70,U.S.A.,3.25,Venezuela,,,,,
Finca,Puerto Rico,1283,2014,65,U.S.A.,2.25,Puerto Rico,,,,,
Kyya,Madagascar,1363,2014,72,U.S.A.,3,Madagascar,Trinitario,,,,
Lillie Belle,Purple Haze,947,2012,75,U.S.A.,2.75,Venezuela,,,,,
Nathan Miller,Ghana,1403,2014,70,U.S.A.,3.5,Ghana,Forastero,,,,
Sacred,Twilight,813,2012,69,U.S.A.,3.25,Central and S. America,,,,,
Scharffen Berger,Markham Valley,781,2011,68,U.S.A.,3.75,Papua New Guinea,,,,,
Terroir,Ecuador,1323,2014,77,U.S.A.,3.25,Ecuador,,,,,
Theo,Ivory Coast,184,2007,75,U.S.A.,2.5,Ivory Coast,,,,,
Violet Sky,Moho River Valley,1458,2015,77,U.S.A.,3,Belize,Criollo,,,,
Violet Sky,Peru,1458,2015,77,U.S.A.,3.25,Peru,Criollo,,,,
Amano,Guayas,470,2010,70,U.S.A.,4,Ecuador,,,,,
Burnt Fork Bend,Blend,1303,2014,72,U.S.A.,3.25,,Blend,,,,
Durci,Corona Arriba,1630,2015,70,U.S.A.,4,Ecuador,,,,,
Ethereal,Dominican Republic,1275,2014,80,U.S.A.,3.75,Dominican Republic,,,,,
hexx,Venezuela,1546,2015,70,U.S.A.,3,Venezuela,,,,,
Isidro,Belize,1279,2014,72,U.S.A.,3.25,Belize,Trinitario,,,,
Just Good Chocolate,Madagascar,1375,2014,70,U.S.A.,3.5,Madagascar,Trinitario,,,,
Kto,Belize,1426,2014,90,U.S.A.,3.25,Belize,Trinitario,,,,
L.A. Burdick (Felchlin),Brazil,891,2012,70,U.S.A.,4,Brazil,,,,,
Molucca,Peru,1618,2015,70,U.S.A.,3.25,Peru,,,,,
Ohiyo,Tanzania,1598,2015,70,U.S.A.,3,Tanzania,,,,,
Olive and Sinclair,Dark 67,457,2009,67,U.S.A.,2.75,Ghana,,,,,
Parliament,Kilombero Valley,1856,2016,70,U.S.A.,3.25,Tanzania,,,,,
Scharffen Berger,Jamaica a l'ancienne,56,2006,70,U.S.A.,2,Jamaica,Trinitario,,,,
Shark Mountain,Jamaica,1450,2015,72,U.S.A.,3.25,Jamaica,Trinitario,,,,
Shark Mountain,Ecuador,1335,2014,75,U.S.A.,3,Ecuador,Trinitario,,,,
Snake & Butterfly,Ghana,693,2011,67,U.S.A.,1.5,Ghana,Forastero,,,,
Snake & Butterfly,Ecuador,502,2010,68,U.S.A.,3.25,Ecuador,,,,,
Somerville,Nicaragua,1367,2014,70,U.S.A.,3.25,Nicaragua,,,,,
Tabal,Peru,1105,2013,70,U.S.A.,3,Peru,,,,,
Taza,Chiapan,451,2009,75,U.S.A.,2.75,Mexico,,,,,
Bittersweet Origins,Sambirano,233,2008,71,U.S.A.,3,Madagascar,Trinitario,,,,
Black Mountain,Matiguas,256,2008,70,U.S.A.,3,Nicaragua,,,,,
Blue Bandana,Kokoa Kamili,1752,2016,75,U.S.A.,3.5,Tanzania,,,,,
Brasstown aka It's Chocolate,Conacado,1462,2015,68,U.S.A.,3.75,Dominican Republic,,,,,
Cao,Tanzania,1804,2016,73,U.S.A.,2.75,Tanzania,,,,,
Cao,Porcelana,1804,2016,75,U.S.A.,2.5,Venezuela,Criollo,,,,
Castronovo,San Martin,1105,2013,70,U.S.A.,2.5,Peru,Criollo,,,,
Castronovo,Tumbes,1153,2013,70,U.S.A.,2.75,Peru,Criollo,,,,
Dandelion,Buto,1303,2014,70,U.S.A.,2.75,Liberia,,,,,
Dick Taylor,Sambirano,661,2011,80,U.S.A.,2.75,Madagascar,Trinitario,,,,
Ethereal,Ecuador,1275,2014,80,U.S.A.,3.5,Ecuador,,,,,
French Broad,Matagalpa,1295,2014,68,U.S.A.,3.25,Nicaragua,,,,,
Kyya,Hispaniola,1359,2014,72,U.S.A.,3,Dominican Republic,,,,,
Madre,Brazil,1085,2013,70,U.S.A.,3.5,Brazil,,,,,
Madre,Kaua'i,995,2012,70,U.S.A.,3.5,Hawaii,,,,,
Madre,Upala,693,2011,70,U.S.A.,2.75,Costa Rica,,,,,
Maverick,Tumbes,1430,2014,82,U.S.A.,3.25,Peru,Criollo,,,,
Nathan Miller,Madagascar,1403,2014,73,U.S.A.,2.5,Madagascar,Trinitario,,,,
Shark Mountain,Papua New Guinea,1450,2015,73,U.S.A.,3.5,Papua New Guinea,Forastero,,,,
Taza,Belize,1271,2014,68,U.S.A.,3,Belize,Trinitario,,,,
Tejas,San Jose,829,2012,70,U.S.A.,2.75,Bolivia,,,,,
Amano,Chuao,544,2010,70,U.S.A.,3,Venezuela,Trinitario,,,,
Askinosie,Mababa,1780,2016,68,U.S.A.,3.75,Tanzania,Trinitario,,,,
Bittersweet Origins,Sambirano,423,2009,75,U.S.A.,3.25,Madagascar,Trinitario,,,,
Burnt Fork Bend,Belize,1303,2014,72,U.S.A.,3.25,Belize,Trinitario,,,,
Chocolate Con Amor,Ecuador,1764,2016,70,U.S.A.,3.25,Ecuador,,,,,
Dean and Deluca (Belcolade),Costa Rica,175,2007,64,U.S.A.,3,Costa Rica,,,,,
Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64,U.S.A.,3,Papua New Guinea,,,,,
L.A. Burdick (Felchlin),Venzuela,597,2010,71,U.S.A.,3,Venezuela,,,,,
Madre,Dominican,672,2011,70,U.S.A.,2.5,Dominican Republic,,,,,
Middlebury,Oko Caribe,1490,2015,75,U.S.A.,3.75,Dominican Republic,,,,,
Pitch Dark,Nicalizo,1510,2015,80,U.S.A.,2.75,Nicaragua,Trinitario,,,,
Ritual,Gran Couva,979,2012,75,U.S.A.,3.5,Trinidad,Trinitario,,,,
TCHO,Citrus-beta,280,2008,70,U.S.A.,2.75,Madagascar,,,,,
TCHO,Fruity-beta,280,2008,70,U.S.A.,2.5,Peru,,,,,
Terroir,Madagascar,1478,2015,70,U.S.A.,3.75,Madagascar,Trinitario,,,,
Arete,Maya Mountain,1598,2015,70,U.S.A.,3.75,Belize,Trinitario,,,,
Bittersweet Origins,Ankasa,256,2008,70,U.S.A.,3,Ghana,Forastero,,,,
Castronovo,Elvesia P.,1407,2014,70,U.S.A.,2.75,Dominican Republic,Trinitario,,,,
Chocolate Con Amor,Nicaragua,1768,2016,80,U.S.A.,2.75,Nicaragua,,,,,
Dark Forest,Tanzania,1554,2015,70,U.S.A.,3,Tanzania,,,,,
Ethel's Artisan (Mars),Trinidad,666,2011,55,U.S.A.,2.5,Trinidad,Trinitario,,,,
Isidro,Madagascar,1275,2014,72,U.S.A.,3.5,Madagascar,Trinitario,,,,
Isidro,Peru,1279,2014,72,U.S.A.,2.25,Peru,,,,,
Kto,Ocumare,1422,2014,72,U.S.A.,2.75,Venezuela,,,,,
L.A. Burdick (Felchlin),Grenada,576,2010,75,U.S.A.,3.25,Grenada,Trinitario,,,,
Map Chocolate,Colombia,1610,2015,75,U.S.A.,2.75,Colombia,,,,,
Maverick,Maya Mountain,1367,2014,70,U.S.A.,3.25,Belize,Trinitario,,,,
TCHO,Chocolatey-beta,199,2008,70,U.S.A.,2.5,Ghana,Forastero,,,,
Violet Sky,Cahabon,1502,2015,77,U.S.A.,2.75,Guatemala,Trinitario,,,,
Woodblock,La Red,769,2011,70,U.S.A.,3.5,Dominican Republic,,,,,
Altus aka Cao Artisan,Bolivia,1129,2013,80,U.S.A.,3.25,Bolivia,,,,,
Altus aka Cao Artisan,Conacado,1125,2013,60,U.S.A.,3,Dominican Republic,Trinitario,,,,
Arete,Fazenda Camboa,1602,2015,75,U.S.A.,2.75,Brazil,,,,,
Burnt Fork Bend,Trinidad,1299,2014,72,U.S.A.,3.25,Trinidad,Trinitario,,,,
Cacao Atlanta,Patanemo,600,2010,75,U.S.A.,2.25,Venezuela,,,,,
Cao,Brazil,1808,2016,70,U.S.A.,3.25,Brazil,Trinitario,,,,
Cello,Ecuador,1247,2014,70,U.S.A.,2.5,Ecuador,,,,,
Chocolate Con Amor,Dominican Republic,1764,2016,60,U.S.A.,3,Dominican Republic,,,,,
Chocolate Con Amor,Ocumare,1764,2016,80,U.S.A.,3,Venezuela,Criollo (Ocumare),,,,
Coleman & Davis,Sambirano,1646,2015,75,U.S.A.,3,Madagascar,Trinitario,,,,
Dean and Deluca (Belcolade),Ecuador,175,2007,71,U.S.A.,3,Ecuador,,,,,
Guittard,Ecuador,1053,2013,65,U.S.A.,3.5,Ecuador,,,,,
Nathan Miller,Hispaniola,1403,2014,70,U.S.A.,2.5,Dominican Republic,,,,,
Nibble,Elvesia P.,1526,2015,72,U.S.A.,2.75,Dominican Republic,Trinitario,,,,
Noir d' Ebine,Venezuela,837,2012,70,U.S.A.,3,Venezuela,,,,,
Scharffen Berger,Bittersweet,15,2006,70,U.S.A.,3.5,,Blend,,,,
Tejas,Presidio,805,2012,70,U.S.A.,3.5,Dominican Republic,,,,,
Terroir,Guatemala,1558,2015,70,U.S.A.,3.75,Guatemala,Trinitario,,,,
Vicuna,Palos Blancos + nibs,1470,2015,70,U.S.A.,3.25,Bolivia,,,,,
Amano,Montanya,363,2009,70,U.S.A.,3,Venezuela,,,,,
Arete,Chuno,1598,2015,70,U.S.A.,4,Nicaragua,Criollo,,,,
Bisou,Belize,1486,2015,86,U.S.A.,3.25,Belize,Trinitario,,,,
Bittersweet Origins,Puerto Plata,414,2009,75,U.S.A.,3,Dominican Republic,,,,,
Dark Forest,Madagascar,1550,2015,70,U.S.A.,3,Madagascar,Trinitario,,,,
Guittard,Nocturne,387,2009,91,U.S.A.,3,,,,,,
hexx,Madagascar,1546,2015,74,U.S.A.,3,Madagascar,Trinitario,,,,
Manoa,Coto Brus,1522,2015,72,U.S.A.,3.75,Costa Rica,,,,,
Meadowlands,Bolivia,1287,2014,70,U.S.A.,2.5,Bolivia,,,,,
Middlebury,Belize,1117,2013,80,U.S.A.,3.25,Belize,Trinitario,,,,
Moho,Toledo District,1030,2013,72,U.S.A.,3,Belize,Trinitario,,,,
Olive and Sinclair,Dominican Republic prototype,486,2010,72,U.S.A.,3,Dominican Republic,,,,,
Patric,Madagascar,331,2009,75,U.S.A.,4,Madagascar,Trinitario,,,,
Pitch Dark,Johe,1506,2015,80,U.S.A.,2.75,Nicaragua,,,,,
Raaka,Virunga,1708,2015,75,U.S.A.,2.75,Congo,Forastero,,,,
Ritual,Sambirano,891,2012,75,U.S.A.,4,Madagascar,Trinitario,,,,
Scharffen Berger,Kumasi Sambirano,40,2006,68,U.S.A.,2,Ghana & Madagascar,Blend,,,,
twenty-four blackbirds,Dominican Republic,753,2011,73,U.S.A.,2.75,Dominican Republic,,,,,
Undone,Matagalpa,1438,2014,74,U.S.A.,2.75,Nicaragua,,,,,
Vanleer (Barry Callebaut),Napa,963,2012,65,U.S.A.,2.75,Ghana,Forastero,,,,
Altus aka Cao Artisan,Villa Andina,1732,2016,60,U.S.A.,2.5,Peru,,,,,
Chocolate Con Amor,Dominican Republic,1764,2016,75,U.S.A.,3,Dominican Republic,,,,,
Dark Forest,Ocumare,1550,2015,70,U.S.A.,3.25,Venezuela,,,,,
Dick Taylor,Mantuano,682,2011,75,U.S.A.,2.75,Venezuela,Criollo,,,,
Escazu,Rio Caribe,903,2012,70,U.S.A.,2.75,Venezuela,Trinitario,,,,
Ethereal,Belize,1275,2014,80,U.S.A.,3,Belize,Trinitario,,,,
Guittard,Complexite,387,2009,70,U.S.A.,3.5,,Blend,,,,
Guittard,Chucuri,15,2006,65,U.S.A.,3,Colombia,Trinitario,,,,
Kto,Belize,1422,2014,72,U.S.A.,3,Belize,Trinitario,,,,
Love Bar,Nicaragua,1502,2015,75,U.S.A.,2,Nicaragua,,,,,
Mana,Conacado,821,2012,74,U.S.A.,3.75,Dominican Republic,,,,,
Mast Brothers,San Martin,777,2011,75,U.S.A.,3,Peru,,,,,
Mast Brothers,Ocumare de la Costa,572,2010,75,U.S.A.,3,Venezuela,,,,,
Parliament,Alto Beni,1251,2014,70,U.S.A.,3,Bolivia,,,,,
Pitch Dark,Tenor,1506,2015,62,U.S.A.,2.5,Nicaragua,,,,,
Potomac,Upala w/ nibs,647,2011,70,U.S.A.,3.5,Costa Rica,Matina,,,,
Solstice,Sambirano,1157,2013,70,U.S.A.,3,Madagascar,Trinitario,,,,
Tejas,Capistrano*,829,2012,70,U.S.A.,3,Madagascar,,,,,
Tejas,Espada,833,2012,70,U.S.A.,3.25,Mexico,,,,,
Tejas,Aranama,805,2012,70,U.S.A.,3,Papua New Guinea,,,,,
Treehouse,Conacado,1239,2014,72,U.S.A.,3,Dominican Republic,,,,,
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60,U.S.A.,2.5,Bolivia,,,,,
Brazen,Maya Mountain,1518,2015,80,U.S.A.,3.25,Belize,Trinitario,,,,
Chocovivo,Tabasco,1522,2015,75,U.S.A.,2.5,Mexico,Trinitario,,,,
Dean and Deluca (Belcolade),Peru,180,2007,64,U.S.A.,3,Peru,,,,,
Indi,Honduras,1255,2014,77,U.S.A.,3,Honduras,,,,,
Kto,Sambirano Valley,1422,2014,72,U.S.A.,3.25,Madagascar,Trinitario,,,,
Mars,Nigeria,544,2010,65,U.S.A.,3.25,Nigeria,,,,,
Middlebury,Alto Beni,887,2012,75,U.S.A.,2,Bolivia,Criollo,,,,
Pitch Dark,Rugoso,1510,2015,80,U.S.A.,3.25,Nicaragua,,,,,
Pomm (aka Dead Dog),Peru,829,2012,82,U.S.A.,2.75,Peru,Criollo,,,,
Scharffen Berger,Ben Tre,445,2009,72,U.S.A.,3.75,Vietnam,Trinitario,,,,
Scharffen Berger,Extra Dark,15,2006,82,U.S.A.,2,,,,,,
Shark's,Hilo,713,2011,73,U.S.A.,2,Hawaii,,,,,
Woodblock,Gran Couva,1042,2013,70,U.S.A.,3.5,Trinidad,Trinitario,,,,
Amano,Dos Rios,470,2010,70,U.S.A.,3.75,Dominican Republic,,,,,
Blue Bandana,Madagascar,911,2012,70,U.S.A.,3.75,Madagascar,Trinitario,,,,
Brazen,Ambolikapiky P.,1518,2015,80,U.S.A.,2.75,Madagascar,,,,,
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75,U.S.A.,2.75,Dominican Republic,,,,,
Escazu,Guapiles,414,2009,65,U.S.A.,2,Costa Rica,,,,,
Escazu,Carenero Superior,423,2009,81,U.S.A.,3.5,Venezuela,Criollo,,,,
French Broad,San Andres,1209,2014,80,U.S.A.,3,Costa Rica,,,,,
Guittard,Lever du Soleil,654,2011,61,U.S.A.,3.25,,,,,,
Guittard,Trinidad,552,2010,65,U.S.A.,3,Trinidad,Trinitario,,,,
Guittard,Ocumare,276,2008,65,U.S.A.,3.5,Venezuela,,,,,
L.A. Burdick (Felchlin),Madagascar,431,2009,64,U.S.A.,3.5,Madagascar,Trinitario,,,,
L'Amourette,Carenero Superior,833,2012,75,U.S.A.,3,Venezuela,Trinitario,,,,
Mast Brothers,Guatemala,1450,2015,76,U.S.A.,3,Guatemala,,,,,
Mast Brothers,Conacado,777,2011,73,U.S.A.,3.25,Dominican Republic,,,,,
Mindo,Ecuador,607,2010,77,U.S.A.,2.75,Ecuador,,,,,
Noble Bean aka Jerjobo,Maranon Canyon,1299,2014,75,U.S.A.,3.25,Peru,Forastero (Nacional),,,,
Parliament,Oko Caribe,1255,2014,70,U.S.A.,3.5,Dominican Republic,,,,,
SRSLY,Dominican Republic,1113,2013,70,U.S.A.,3,Dominican Republic,,,,,
TCHO,Nutty-beta,284,2008,70,U.S.A.,2.5,Peru,,,,,
Vivra,Peru,1720,2016,70,U.S.A.,2.5,Peru,,,,,
Brazen,Ambolikapkly P.,1518,2015,60,U.S.A.,3.25,Madagascar,,,,,
Chocolate Con Amor,Uganda,1760,2016,70,U.S.A.,2.75,Uganda,,,,,
Chuao Chocolatier (Pralus),Chuao,486,2010,77,U.S.A.,2.75,Venezuela,Trinitario,,,,
DeVries,Costa Rica,166,2007,77,U.S.A.,3.5,Costa Rica,Trinitario,,,,
Fruition,Maranon,1359,2014,76,U.S.A.,3,Peru,Forastero (Nacional),,,,
Fruition,Costa Rica,781,2011,70,U.S.A.,3,Costa Rica,,,,,
Guittard,Jamaica,1053,2013,65,U.S.A.,3.25,Jamaica,Trinitario,,,,
Guittard,Sur del Lago,87,2006,65,U.S.A.,2.5,Venezuela,Trinitario,,,,
Lake Champlain (Callebaut),Tanzania,327,2009,75,U.S.A.,2.5,Tanzania,,,,,
Letterpress,Liberia,1728,2016,70,U.S.A.,3.25,Liberia,,,,,
Manoa,Markham Valley,1522,2015,72,U.S.A.,3.5,Papua New Guinea,,,,,
Map Chocolate,Ecuador,1478,2015,70,U.S.A.,3.5,Ecuador,Trinitario,,,,
Millcreek Cacao Roasters,Ecuador,825,2012,70,U.S.A.,3.5,Ecuador,,,,,
Potomac,Bahia,789,2011,70,U.S.A.,3.5,Brazil,,,,,
Solstice,Bundibugyo,1335,2014,70,U.S.A.,3,Uganda,Forastero,,,,
Tabal,Costa Rica,1101,2013,70,U.S.A.,2.75,Costa Rica,,,,,
Duffy's,Star of Peru,523,2010,70,U.K.,3.75,Peru,,,,,
Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,80,U.K.,3.5,Vietnam,Trinitario,,,,
Artisan du Chocolat,Madagascar,363,2009,80,U.K.,3,Madagascar,Criollo,,,,
Hotel Chocolat (Coppeneur),Sambirano,809,2012,66,U.K.,3.5,Madagascar,Trinitario,,,,
Seaforth,Dominican Republic,1658,2015,70,U.K.,2.75,Domincan Republic,,,,,
Willie's Cacao,Rio Caribe,457,2009,72,U.K.,3.25,Venezuela,Trinitario,,,,
Artisan du Chocolat,Congo,300,2008,72,U.K.,3.75,Congo,Forastero,,,,
Black River (A. Morin),Blue Mountain Region,1331,2014,70,U.K.,2.75,Jamaica,Trinitario,,,,
Damson,Los Rios,1610,2015,70,U.K.,3.5,Ecuador,,,,,
Willie's Cacao,Los Llanos,1848,2016,70,U.K.,4,Colombia,,,,,
Artisan du Chocolat,Jamaica,531,2010,72,U.K.,3.75,Jamaica,Trinitario,,,,
Doble & Bignall,Johe,1407,2014,72,U.K.,3.5,Nicaragua,Criollo,,,,
Duffy's,Panama,516,2010,70,U.K.,3.5,Panama,,,,,
Pump Street Bakery,Honduras,1688,2015,80,U.K.,2.75,Honduras,,,,,
Artisan du Chocolat,Venezuela,486,2010,100,U.K.,1.75,Venezuela,,,,,
Hotel Chocolat (Coppeneur),Tanzania,296,2008,75,U.K.,2.75,Tanzania,,,,,
Artisan du Chocolat,Brazil Rio Doce,363,2009,72,U.K.,1.75,Brazil,,,,,
Artisan du Chocolat,Java,355,2009,72,U.K.,2.75,Indonesia,Trinitario,,,,
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,75,U.K.,3,Trinidad,Trinitario,,,,
Seaforth,Grenada,1658,2015,70,U.K.,2.75,Grenada,,,,,
Chocolarder,Peru + nibs,1482,2015,65,U.K.,2.75,Peru,Criollo,,,,
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72,U.K.,3.25,Vietnam,Trinitario,,,,
Duffy's,Star of Ecuador,523,2010,70,U.K.,2.5,Ecuador,,,,,
Artisan du Chocolat,Bali,600,2010,72,U.K.,3.5,Indonesia,,,,,
Chocolarder,Dominican Republic,1514,2015,80,U.K.,2.5,Dominican Republic,,,,,
Damson,O'Payo,1666,2015,70,U.K.,2.75,Nicaragua,,,,,
Chocolarder,Peru,1482,2015,65,U.K.,2.5,Peru,Criollo,,,,
Willie's Cacao,Hacienda Las Trincheras,593,2010,72,U.K.,3.5,Venezuela,,,,,
Duffy's,Ocumare,765,2011,71,U.K.,3.5,Venezuela,,,,,
Doble & Bignall,Puerto Cabello,1688,2015,85,U.K.,3,Venezuela,,,,,
Damson,Robson Estate,1610,2015,70,U.K.,3,Trinidad,Trinitario,,,,
Duffy's,Dominican Republic,661,2011,65,U.K.,3.5,Dominican Republic,,,,,
Pump Street Bakery,Guantupi River,1223,2014,75,U.K.,3,Ecuador,Forastero (Nacional),,,,
Willie's Cacao,Java,593,2010,69,U.K.,3.75,Indonesia,,,,,
Willie's Cacao,Sambirano,593,2010,71,U.K.,3,Madagascar,Trinitario,,,,
Artisan du Chocolat,Dominican Republic,363,2009,72,U.K.,3.25,Dominican Republic,Trinitario,,,,
Chocablog,Ecuador,1454,2015,70,U.K.,3.25,Ecuador,,,,,
Artisan du Chocolat,Panama,745,2011,72,U.K.,2.75,Panama,,,,,
Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70,U.K.,3,Dominican Republic,,,,,
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,72,U.K.,3,Sao Tome,Forastero,,,,
Willie's Cacao,San Martin,457,2009,70,U.K.,3,Peru,,,,,
Hotel Chocolat (Coppeneur),Chuao,600,2010,70,U.K.,2.75,Venezuela,Trinitario,,,,
Pump Street Bakery,Guantupi River,1227,2014,85,U.K.,2.75,Ecuador,Forastero (Nacional),,,,
Willie's Cacao,Los Llanos,1227,2014,88,U.K.,3,Colombia,Trinitario,,,,
Artisan du Chocolat,Peru,363,2009,75,U.K.,3,Peru,Criollo,,,,
Artisan du Chocolat,Haiti,729,2011,72,U.K.,4,Haiti,,,,,
Duffy's,Ocumare,923,2012,72,U.K.,3.75,Venezuela,,,,,
Hotel Chocolat (Coppeneur),St. Lucia,245,2008,72,U.K.,3,St. Lucia,,,,,
Artisan du Chocolat,Costa Rica,600,2010,72,U.K.,3.25,Costa Rica,,,,,
Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70,U.K.,2.25,Grenada,,,,,
Hotel Chocolat (Coppeneur),Ecuador,552,2010,70,U.K.,2.75,Ecuador,,,,,
Forever Cacao,Rio Eni,1267,2014,72,U.K.,2.75,Peru,Criollo,,,,
Green & Black's (ICAM),Dark,15,2006,70,U.K.,2.5,,,,,,
Hotel Chocolat (Coppeneur),Uganda,296,2008,80,U.K.,2.5,Uganda,Forastero,,,,
Beschle (Felchlin),Maracaibo,636,2011,88,Switzerland,3,Venezuela,Criollo,,,,
Idilio (Felchlin),Coopertiva Amazona,725,2011,72,Switzerland,3.75,Venezuela,Criollo,,,,
Felchlin,Maracaibo Clasificado,48,2006,65,Switzerland,3,Venezuela,Criollo,,,,
Felchlin,Grenada,494,2010,58,Switzerland,3.5,Grenada,Trinitario,,,,
Felchlin,Elvesia P.,105,2006,74,Switzerland,3,Dominican Republic,Trinitario,,,,
Felchlin,Arriba,48,2006,72,Switzerland,3.5,Ecuador,Forastero (Arriba),,,,
Beschle (Felchlin),Madagascar,636,2011,64,Switzerland,3,Madagascar,Trinitario,,,,
Original Beans (Felchlin),Papua Kerafat,1438,2014,68,Switzerland,2.75,Papua New Guinea,,,,,
Sprungli (Felchlin),Alto Beni,1057,2013,70,Switzerland,3,Bolivia,Criollo,,,,
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,72,Switzerland,4,Venezuela,Criollo,,,,
Beschle (Felchlin),Ecuador,636,2011,72,Switzerland,4,Ecuador,,,,,
Felchlin,Supremo- SF,105,2006,62,Switzerland,2,,,,,,
Stella (aka Bernrain),India,729,2011,72,Switzerland,3.25,India,,,,,
Lindt & Sprungli,Excellence (US Version),157,2007,85,Switzerland,3,,,,,,
Malmo,Chuao,1856,2016,70,Sweden,3,Venezuela,,,,,
The Barn,Peru,1614,2015,70,Sweden,3,Peru,,,,,
Metiisto,Akesson Estate,1267,2014,72,Sweden,3.5,Madagascar,Trinitario,,,,
Svenska Kakaobolaget,Sri Lanka,1618,2015,70,Sweden,2.75,Sri Lanka,Criollo,,,,
Emerald Estate,Emerald Estate,1137,2013,70,St. Lucia,3.25,St. Lucia,,,,,
Emerald Estate,Emerald Estate,1137,2013,60,St. Lucia,2.75,St. Lucia,,,,,
Blanxart,Organic Dark,322,2009,72,Spain,2.75,,,,,,
Chocovic,Kendari,439,2009,60,Spain,3.25,,,,,,
Cacao Sampaka,Ecuador,523,2010,71,Spain,3.75,Ecuador,,,,,
Chocovic,Xoconusco,478,2010,71,Spain,3.25,Mexico,Criollo,,,,
Cacao Sampaka,Venezuela,537,2010,77,Spain,3.5,Venezuela,,,,,
Chocovic,Tarakan,439,2009,75,Spain,3.25,,,,,,
Cacao Sampaka,Grenada,537,2010,71,Spain,3.25,Grenada,Trinitario,,,,
Cacao Sampaka,Papua,523,2010,71,Spain,4,Papua New Guinea,,,,,
Chocovic,Sambirano,478,2010,71,Spain,3.5,Madagascar,Trinitario,,,,
Amatller (Simon Coll),Ghana,322,2009,70,Spain,3,Ghana,Forastero,,,,
Amatller (Simon Coll),Ghana,464,2009,85,Spain,3,Ghana,Forastero,,,,
Chocovic,Ocumare,209,2008,71,Spain,3.5,Venezuela,Criollo,,,,
Chocovic,Maragda,117,2007,70,Spain,3,,Blend,,,,
Pangea,Matasawalevu,1860,2016,76,Spain,3,Fiji,,,,,
Cacao Sampaka,Venezuela,537,2010,71,Spain,3.5,Venezuela,,,,,
Amatller (Simon Coll),Ecuador,464,2009,85,Spain,2.75,Ecuador,,,,,
Cacao Sampaka,Madagascar,508,2010,71,Spain,3.5,Madagascar,Trinitario,,,,
Chocovic,Guyave,117,2007,71,Spain,2.5,Grenada,Trinitario,,,,
Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,80,Spain,3.25,Sao Tome & Principe,Forastero,,,,
Amatller (Simon Coll),Ecuador,327,2009,70,Spain,2.75,Ecuador,,,,,
Roasting Masters,Maleku,1844,2016,70,South Korea,3.25,Costa Rica,,,,,
De Villiers,Bundibugyo District,1832,2016,70,South Africa,2.5,Uganda,Forastero,,,,
Ocelot,Piura,1558,2015,75,Scotland,4,Peru,Criollo,,,,
iQ Chocolate,black label,943,2012,72,Scotland,3,Peru,,,,,
Ocelot,Virunga,1558,2015,70,Scotland,3.75,Congo,Forastero,,,,
Claudio Corallo,Principe,252,2008,100,Sao Tome,1,Sao Tome & Principe,Forastero,,,,
Claudio Corallo,Terreiro Velho P.,227,2008,75,Sao Tome,4,Sao Tome & Principe,Forastero,,,,
Claudio Corallo,Terreiro Velho P.,470,2010,73,Sao Tome,3.75,Sao Tome & Principe,Forastero,,,,
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80,Sao Tome,3,Sao Tome & Principe,Forastero,,,,
Britarev,Ecuador,1638,2015,70,Russia,3.25,Ecuador,,,,,
Loiza,Puerto Rico,1049,2013,65,Puerto Rico,2.5,Puerto Rico,,,,,
Forteza (Cortes),Puerto Rico,1776,2016,80,Puerto Rico,2.75,Domincan Republic,,,,,
Forteza (Cortes),Dominican Republic,1776,2016,70,Puerto Rico,2.75,Domincan Republic,,,,,
Cacao Arabuco,Puerto Rico,1606,2015,70,Puerto Rico,2.5,Puerto Rico,,,,,
Feitoria Cacao,Blue Mountain,1732,2016,76,Portugal,3,Jamaica,,,,,
Feitoria Cacao,Maya Mountain,1736,2016,76,Portugal,2.75,Belize,Trinitario,,,,
Feitoria Cacao,Cuyagua,1736,2016,76,Portugal,2.5,Venezuela,,,,,
Manufaktura Czekolady,Kolumbia,1279,2014,85,Poland,3.5,Colombia,,,,,
Manufaktura Czekolady,Porcelana,1255,2014,70,Poland,3.75,Venezuela,Criollo,,,,
Manufaktura Czekolady,Grand Cru Ghana,871,2012,70,Poland,3.5,Ghana,Forastero,,,,
